,AIR_MOTOR,APPROVED_BY,CHS,CUST,DATE_DRAWN,DESCRIPTION,DIRNAME,DRAWING_NUMBER,DRAWN_BY,DWG_TYPE,ELEC_MOTOR,FA1,FA10,FA11,FA12,FA13,FA14,FA15,FA16,FA17,FA18,FA19,FA1_1,FA1_2,FA1_3,FA2,FA20,FA21,FA22,FA23,FA24,FA25,FA26,FA27,FA28,FA29,FA3,FA30,FA31,FA32,FA33,FA34,FA35,FA36,FA37,FA38,FA39,FA4,FA40,FA41,FA42,FA43,FA44,FA45,FA46,FA47,FA5,FA6,FA7,FA8,FA9,FNAME,FTYPE,F_AM_1,F_AM_10,F_AM_11,F_AM_12,F_AM_13,F_AM_14,F_AM_2,F_AM_3,F_AM_4,F_AM_5,F_AM_6,F_AM_7,F_AM_8,F_AM_9,F_CHS_1,F_CHS_10,F_CHS_11,F_CHS_12,F_CHS_13,F_CHS_14,F_CHS_15,F_CHS_2,F_CHS_3,F_CHS_4,F_CHS_5,F_CHS_6,F_CHS_7,F_CHS_8,F_CHS_9,F_EM_1,F_EM_2,F_EM_3,F_EM_4,F_EM_5,F_EM_6,F_EM_7,F_EM_8,F_EM_9,F_GHT_1,F_GHT_10,F_GHT_11,F_GHT_12,F_GHT_13,F_GHT_14,F_GHT_15,F_GHT_2,F_GHT_3,F_GHT_4,F_GHT_5,F_GHT_6,F_GHT_7,F_GHT_8,F_GHT_9,F_PNU_1,F_PNU_10,F_PNU_11,F_PNU_12,F_PNU_13,F_PNU_2,F_PNU_3,F_PNU_4,F_PNU_5,F_PNU_6,F_PNU_7,F_PNU_8,F_PNU_9,F_SC_1,F_SC_2,F_SC_3,GHT,LANG,OPERATOR_TYPE,PA1,PA10,PA11,PA12,PA13,PA15,PA16,PA17,PA18,PA19,PA2,PA20,PA21,PA22,PA23,PA24,PA25,PA26,PA27,PA28,PA29,PA3,PA30,PA31,PA32,PA33,PA34,PA35,PA36,PA37,PA4,PA5,PA6,PA7,PA8,PA9,PB_TYPE,PNEUMATIC,PUMP,REVISION,SELFCONTAINED,SHEET_SIZE,SP_OPT,INFOS,OSM_VERSION_ID
,,,,,,,,,,,,Electric Remote 2 Way,Electric Remote 2 Way,,High Pressure Trip,,High Pressure Trip,Low Pressure Trip,High Pressure Trip,,Emergency Shutdown,Emergency Shutdown,,,,Electric Remote 2 Way,Emergency Shutdown,Emergency Shutdown,Single Way Electric,,,Linebreak,Linebreak,High Pressure Trip,2-Way Electric,,Electric Remote 2 Way,Electric Remote 2 Way,Electric Remote 2 Way,Electric Remote 2 Way,,,,,Electric Failsafe,Low Pressure Trip,,Electric Remote 2 Way,,,,,,,2-Way Electric,Electric Failsafe,Electric Remote 2 Way,Electric Remote 2 Way,Electric Remote 2 Way,,Electric Remote 2 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,High Pressure Trip,Electric Failsafe,,2 Way Pneumatic,,River Crossing,Single Way Pneumatic,,,,,,,,Electric Failsafe,,,,,,,,2 Way Pneumatic,Electric Failsafe,,Electric Failsafe,Electric Failsafe,Electric Failsafe,Electric Failsafe,,,,,,,,Electric Failsafe,,,,,,,Electric Failsafe,Single Sol 2 Way and Failsafe,Electric Failsafe,Electric Failsafe,Single Way Pneumatic,,High Pressure Trip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Low Pressure Trip,High Pressure Trip,,Double Sol 2 Way and Failsafe,,Low Pressure Trip,2 Way Pneumatic,,,,,,,,Low Pressure Trip,,,,,,,,Double Sol 2 Way and Failsafe,Single Sol 2 Way and Failsafe,,Double Sol 2 Way and Failsafe,Low Pressure Trip,High Pressure Trip,High Pressure Trip,,,,,,,,Double Sol 2 Way and Failsafe,,,,,,,Single Sol 2 Way and Failsafe,,Double Sol 2 Way and Failsafe,High Pressure Trip,2 Way Pneumatic,,River Crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Single Way Pneumatic,Low Pressure Trip,,Heat Sensing,,Linebreak,Emergency Shutdown,,,,,,,,Single Way Pneumatic,,,,,,,,Heat Sensing,Double Sol 2 Way and Failsafe,,Single Sol 2 Way and Failsafe,Double Sol 2 Way and Failsafe,Low Pressure Trip,Heat Sensing,,,,,,,,Single Sol 2 Way and Failsafe,,,,,,,,,Single Way Electric,River Crossing,Single Way Electric,,Single Way Pneumatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2 Way Pneumatic,Single Way Pneumatic,,Single Sol 2 Way and Failsafe,,Double Sol 2 Way and Failsafe,,,,,,,,,Heat Sensing,,,,,,,,Single Sol 2 Way and Failsafe,Linebreak,,2-Way Electric,Heat Sensing,Single Way Pneumatic,,,,,,,,,2-Way Electric,,,,,,,,,2-Way Electric,Low Pressure Trip,2-Way Electric,,2 Way Pneumatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Linebreak,2 Way Pneumatic,,Emergency Shutdown,,Station Bypass,,,,,,,,,High Pressure Trip,,,,,,,,Emergency Shutdown,Emergency Shutdown,,Single Way Electric,Single Sol 2 Way and Failsafe,Double Sol 2 Way and Failsafe,,,,,,,,,Single Way Electric,,,,,,,,,,Single Way Pneumatic,,,Linebreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Double Sol 2 Way and Failsafe,Emergency Shutdown,,,,Heat Sensing,,,,,,,,,,,,,,,,,,High Pressure Trip,,,Single Way Electric,Station Bypass,,,,,,,,,,,,,,,,,,,2 Way Pneumatic,,,Heat Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Station Bypass,,,,,Emergency Shutdown,,,,,,,,,,,,,,,,,,Low Pressure Trip,,,Regulating,Heat Sensing,,,,,,,,,,,,,,,,,,,Linebreak,,,Single Sol 2 Way and Failsafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Heat Sensing,,,,,,,,,,,,,,,,,,,,,,,Single Way Pneumatic,,,High Pressure Trip,Single Sol 2 Way and Failsafe,,,,,,,,,,,,,,,,,,,Double Sol 2 Way and Failsafe,,,Emergency Shutdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Single Sol 2 Way and Failsafe,,,,,,,,,,,,,,,,,,,,,,,2 Way Pneumatic,,,2-Way Electric,Single Way Electric,,,,,,,,,,,,,,,,,,,Station Bypass,,,Single Way Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Emergency Shutdown,,,,,,,,,,,,,,,,,,,,,,,Regulating,,,Emergency Shutdown,Regulating,,,,,,,,,,,,,,,,,,,Heat Sensing,,,Regulating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Single Way Electric,,,,,,,,,,,,,,,,,,,,,,,Heat Sensing,,,,2-Way Electric,,,,,,,,,,,,,,,,,,,Single Sol 2 Way and Failsafe,,,Electric Failsafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,Emergency Shutdown,,,,,,,,,,,,,,,,,,,Emergency Shutdown,,,Double Sol 2 Way and Failsafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2-Way Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Way Electric,,,Low Pressure Trip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Electric Failsafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Way Electric,,,2-Way Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SS,,,5/24/00,EMERGENCY SHUTDOWN & ELECTIC REMOTE 2-WAY,,9875-S,LER,,,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,D   ,,B6C56P59      ,
,,SS,,,5/25/00,ELECTRIC REMOTE 2-WAY,,9876-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B6CICL51      ,
,,SS,Y,,5/30/00,HIGH-LOW SHUTOFF & ELECTRIC REMOTE 2-WAY,,9877-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B6ECFWKF      ,
